horizon,best_model,rmse,mae,r2,mape
daily,GradientBoosting,0.4086231055083302,0.23228522285179104,0.99986472607032,2.1840257025820837
monthly,RandomForest,0.8682269110444604,0.30142974830502656,0.9999030796485783,0.5619113702564673
yearly,RandomForest,1.8298291359381964,0.7843306595470785,0.9999206507930638,0.42592188115431323
